SponsorInfo
Name: Michael Kirby
Title: Senator
Constituency: None"
"ID: 37-1/S-21
Name: Sheila Finestone
Title: Senator
Constituency: None"
"ID: 36-2/S-21
Name: J. Michael Forrestall
Title: Senator
Constituency: None"
"ID: 36-1/S-21
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-22
Name: Mac Harb
Title: Senator
Constituency: None"
"ID: 37-2/S-22
Name: Jerahmiel Grafstein
Title: Senator
Constituency: None"
"ID: 37-1/S-22
Name: Lowell Murray
Title: Senator
Constituency: None"
"ID: 36-2/S-22
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 36-1/S-22
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-23
Name: Pierre Claude Nolin
Title: Senator
Constituency: None"
"ID: 37-2/S-23
Name: Donald H. Oliver
Title: Senator
Constituency: None"
"ID: 37-1/S-23
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 36-2/S-23
Name: John Lynch-Staunton
Title: Senator
Constituency: None"
"ID: 36-1/S-23
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-24
Name: John Bryden
Title: Senator
Constituency: None"
"ID: 37-2/S-24
Name: Pierre Claude Nolin
Title: Senator
Constituency: None"
"ID: 37-1/S-24
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 36-2/S-24
Name: Sheila Finestone
Title: Senator
Constituency: None"
"ID: 36-1/S-24
Name: Gérald Beaudoin
Title: Senator
Constituency: None"
"ID: 38-1/S-25
Name: William Rompkey
Title: Senator
Constituency: None"
"ID: 37-1/S-25
Name: Richard Kroft
Title: Senator
Constituency: None"
"ID: 36-2/S-25
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 36-1/S-25
Name: Michael Kirby
Title: Senator
Constituency: None"
"ID: 38-1/S-26
Name: J. Michael Forrestall
Title: Senator
Constituency: None"
"ID: 37-1/S-26
Name: Mira Spivak
Title: Senator
Constituency: None"
"ID: 36-2/S-26
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 36-1/S-26
Name: John Lynch-Staunton
Title: Senator
Constituency: None"
"ID: 38-1/S-27
Name: Consiglio Di Nino
Title: Senator
Constituency: None"
"ID: 37-1/S-27
Name: Serge Joyal
Title: Senator
Constituency: None"
"ID: 36-2/S-27
Name: Sheila Finestone
Title: Senator
Constituency: None"
"ID: 36-1/S-27
Name: John Lynch-Staunton
Title: Senator
Constituency: None"
"ID: 38-1/S-28
Name: Wilfred P. Moore
Title: Senator
Constituency: None"
"ID: 37-1/S-28
Name: Serge Joyal
Title: Senator
Constituency: None"
"ID: 36-2/S-28
Name: Sharon Carstairs
Title: Senator
Constituency: None"
"ID: 36-1/S-28
Name: Raynell Andreychuk
Title: Senator
Constituency: None"
"ID: 38-1/S-29
Name: Terry M. Mercer
Title: Senator
Constituency: None"
"ID: 37-1/S-29
Name: Jean-Robert Gauthier
Title: Senator
Constituency: None"
"ID: 36-2/S-29
Name: Lowell Murray
Title: Senator
Constituency: None"
"ID: 36-1/S-29
Name: Thérèse Lavoie-Roux
Title: Senator
Constituency: None"
"ID: 38-1/S-30
Name: Michel Biron
Title: Senator
Constituency: None"
"ID: 37-1/S-30
Name: Norman Atkins
Title: Senator
Constituency: None"
"ID: 36-2/S-30
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 36-1/S-30
Name: Nicholas Taylor
Title: Senator
Constituency: None"
"ID: 38-1/S-31
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 37-1/S-31
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 36-2/S-31
Name: Serge Joyal
Title: Senator
Constituency: None"
"ID: 36-1/S-31
Name: Jerahmiel Grafstein
Title: Senator
Constituency: None"
"ID: 38-1/S-32
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 37-1/S-32
Name: Jean-Robert Gauthier
Title: Senator
Constituency: None"
"ID: 36-2/S-32
Name: Noël A. Kinsella
Title: Senator
Constituency: None"
"ID: 38-1/S-33
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 37-1/S-33
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-34
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 37-1/S-34
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-35
Name: David Tkachuk
Title: Senator
Constituency: None"
"ID: 37-1/S-35
Name: Thelma Chalifoux
Title: Senator
Constituency: None"
"ID: 38-1/S-36
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 37-1/S-36
Name: Noël A. Kinsella
Title: Senator
Constituency: None"
"ID: 38-1/S-37
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 37-1/S-37
Name: Gerald J. Comeau
Title: Senator
Constituency: None"
"ID: 38-1/S-38
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 37-1/S-38
Name: Gerry St. Germain
Title: Senator
Constituency: None"
"ID: 38-1/S-39
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 37-1/S-39
Name: Vivienne Poy
Title: Senator
Constituency: None"
"ID: 38-1/S-40
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 37-1/S-40
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-41
Name: Noël A. Kinsella
Title: Senator
Constituency: None"
"ID: 37-1/S-41
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-42
Name: Jerahmiel Grafstein
Title: Senator
Constituency: None"
"ID: 37-1/S-42
Name: Nicholas Taylor
Title: Senator
Constituency: None"
"ID: 38-1/S-43
Name: Jerahmiel Grafstein
Title: Senator
Constituency: None"
"ID: 37-1/S-43
Name: J. Michael Forrestall
Title: Senator
Constituency: None"
"ID: 38-1/S-44
Name: Pierrette Ringuette
Title: Senator
Constituency: None"
"ID: 37-1/S-44
Name: Noël A. Kinsella
Title: Senator
Constituency: None"
"ID: 38-1/S-45
Name: Noël A. Kinsella
Title: Senator
Constituency: None"
"ID: 38-1/S-46
Name: Jerahmiel Grafstein
Title: Senator
Constituency: None"
"ID: 38-1/S-47
Name: Marjory LeBreton
Title: Senator
Constituency: None"
"ID: 44-1/S-201
Name: Marilou McPhedran
Title: Senator
Constituency: None"
"ID: 43-2/S-201
Name: Terry M. Mercer
Title: Senator
Constituency: None"
"ID: 43-1/S-201
Name: Joseph A. Day
Title: Senator
Constituency: None"
"ID: 42-1/S-201
Name: James S. Cowan
Title: Senator
Constituency: None"
"ID: 41-2/S-201
Name: James S. Cowan
Title: Senator
Constituency: None"
"ID: 41-1/S-201
Name: Terry M. Mercer
Title: Senator
Constituency: None"
"ID: 40-3/S-201
Name: Pierrette Ringuette
Title: Senator
Constituency: None"
"ID: 40-2/S-201
Name: Jerahmiel Grafstein
Title: Senator
Constituency: None"
"ID: 40-1/S-201
Name: Yoine Goldstein
Title: Senator
Constituency: None"
"ID: 39-2/S-201
Name: Hugh Segal
Title: Senator
Constituency: None"
"ID: 39-1/S-201
Name: Pierrette Ringuette
Title: Senator
Constituency: None"
"ID: 44-1/S-202
Name: Patricia Bovey
Title: Senator
Constituency: None"
"ID: 43-2/S-202
Name: Lucie Moncion
Title: Senator
Constituency: None"
"ID: 43-1/S-202
Name: Serge Joyal
Title: Senator
Constituency: None"
"ID: 42-1/S-202
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 41-2/S-202
Name: Pierrette Ringuette
Title: Senator
Constituency: None"
"ID: 41-1/S-202
Name: Mac Harb
Title: Senator
Constituency: None"
"ID: 40-3/S-202
Name: Pierrette Ringuette
Title: Senator
Constituency: None"
"ID: 40-2/S-202
Name: Lowell Murray
Title: Senator
Constituency: None"
"ID: 40-1/S-202
Name: Yoine Goldstein
Title: Senator
Constituency: None"
"ID: 39-2/S-202
Name: Hugh Segal
Title: Senator
Constituency: None"
"ID: 39-1/S-202
Name: Tommy Banks
Title: Senator
Constituency: None"
"ID: 44-1/S-203
Name: Leo Housakos
Title: Senator
Constituency: None"
"ID: 43-2/S-203
Name: Julie Miville-Dechêne
Title: Senator
Constituency: None"
